timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1777069204.2710035,2.0,0.0,4.0,0.0,4.5,0.5
1777069208.2847104,2.0,0.0,4.0,0.0,4.0,0.0
1777069212.282479,2.0,0.0,4.0,0.0,4.0,0.0
1777069216.3029897,2.0,0.0,4.0,0.0,4.0,0.0
1777069220.3072019,2.0,0.0,4.0,0.0,4.0,0.0
1777069224.3319156,2.0,0.0,4.0,0.0,4.0,0.0
1777069228.3225904,2.5,0.5,4.0,0.0,4.0,0.0
1777069232.3698957,3.0,0.0,4.0,0.0,4.0,0.0
1777069236.3757627,3.0,0.0,4.0,0.0,4.0,0.0
1777069240.3775938,3.0,0.0,4.0,0.0,4.0,0.0
1777069244.370817,3.0,0.0,4.0,0.0,4.0,0.0
1777069248.4133453,3.0,0.0,5.0,0.0,6.0,0.0
1777069252.4170394,3.0,0.0,5.0,0.0,6.0,0.0
1777069256.4263382,3.0,0.0,5.0,0.0,6.0,0.0
1777069260.4304063,3.0,0.0,5.0,0.0,5.0,0.0
1777069264.4549873,3.0,0.0,5.0,0.0,5.5,0.5
1777069268.4472158,3.0,0.0,5.0,0.0,6.0,0.0
1777069272.4545872,3.0,0.0,5.0,0.0,6.0,0.0
1777069276.4946616,3.0,0.0,5.0,0.0,6.0,0.0
1777069280.4861908,3.0,0.0,5.0,0.0,6.0,0.0
1777069284.4952369,3.0,0.0,5.0,0.0,5.0,0.0
1777069288.4898462,3.0,0.0,4.5,0.5,5.0,0.0
1777069292.5387788,3.0,0.0,4.0,0.0,5.0,0.0
1777069296.5430942,3.0,0.0,4.0,0.0,5.0,0.0
1777069300.5478935,3.0,0.0,4.0,0.0,5.0,0.0
1777069304.5364199,3.0,0.0,4.0,0.0,5.0,0.0
1777069308.5935173,3.0,0.0,4.0,0.0,4.0,0.0
1777069312.592818,3.0,0.0,4.5,0.5,4.5,0.5
1777069316.5899696,3.0,0.0,5.0,0.0,5.0,0.0
1777069320.5834975,3.0,0.0,4.0,0.0,4.0,0.0
1777069324.612809,3.0,0.0,4.0,0.0,4.0,0.0
1777069328.653306,3.0,0.0,4.0,0.0,4.0,0.0
1777069332.6463406,3.0,0.0,5.0,0.0,5.0,0.0
1777069336.6332748,2.5,0.5,4.5,0.5,4.5,0.5
1777069340.686441,2.0,0.0,4.0,0.0,4.0,0.0
1777069344.7050462,2.0,0.0,4.0,0.0,4.0,0.0
1777069348.6921186,2.0,0.0,4.5,0.5,4.5,0.5
1777069352.7070408,2.0,0.0,5.0,0.0,5.0,0.0
1777069356.7064004,2.0,0.0,5.0,0.0,5.0,0.0
1777069360.7247388,2.0,0.0,5.0,0.0,5.0,0.0
1777069364.7326212,2.0,0.0,5.0,0.0,5.0,0.0
1777069368.7264724,2.0,0.0,5.0,0.0,5.0,0.0
1777069372.7579122,2.0,0.0,5.0,0.0,5.0,0.0
1777069376.7616026,2.0,0.0,5.0,0.0,5.0,0.0
1777069380.773084,2.0,0.0,5.0,0.0,5.0,0.0
1777069384.8105114,2.0,0.0,5.0,0.0,5.0,0.0
1777069388.8112342,2.0,0.0,5.0,0.0,5.0,0.0
1777069392.8181696,2.0,0.0,5.0,0.0,5.0,0.0
